product_name,Negative,Neutral,Positive,total_reviews,pct_positive,pct_negative
B001DY6TWU,0,1,2,3,66.66666666666666,0.0
B001DBPUB4,0,0,3,3,100.0,0.0
B004YV80OE,0,0,3,3,100.0,0.0
B0029NIOYU,0,0,3,3,100.0,0.0
B0029NVJX8,0,0,3,3,100.0,0.0
B0029NVJ4M,0,0,3,3,100.0,0.0
B002AQ0OS0,0,0,3,3,100.0,0.0
B002AU3K1E,0,0,3,3,100.0,0.0
B002C54UK2,1,0,2,3,66.66666666666666,33.33333333333333
B001AJ1ULS,0,0,3,3,100.0,0.0
B001AHJ2FQ,0,1,2,3,66.66666666666666,0.0
B001B4VOQI,0,0,3,3,100.0,0.0
B001BCVY4W,0,0,3,3,100.0,0.0
B001BM4NAE,0,0,3,3,100.0,0.0
B001BLXRPC,1,0,2,3,66.66666666666666,33.33333333333333
B001BOVE54,0,1,2,3,66.66666666666666,0.0
